"cohort","model","task","run","trial_id","status","screenshot_path","screenshot_sha256","capture_error_path","result_json_path"
"self-hosted","gemma-4-e2b-it","dark_mode_on","0","141133","available","research/evaluation/model-trial-screenshots/self-hosted/141133__gemma-4-e2b-it__dark_mode_on__r0.png","dce271b529b0f4f9536cc331ac3d5d610986efb456c08bf27db36b8fce8b77e9","","research/evaluation/results/141133__gemma-4-e2b-it__dark_mode_on__r0.json"
"self-hosted","gemma-4-e2b-it","dark_mode_on","1","","not_retained","","","",""
"self-hosted","gemma-4-e2b-it","pizza_search","0","141549","available","research/evaluation/model-trial-screenshots/self-hosted/141549__gemma-4-e2b-it__pizza_search__r0.png","a8b982a68029f851c58249bfb8352767e53e37f86300beb08255bc73b4dadbaa","","research/evaluation/results/141549__gemma-4-e2b-it__pizza_search__r0.json"
"self-hosted","gemma-4-e2b-it","pizza_search","1","141608","available","research/evaluation/model-trial-screenshots/self-hosted/141608__gemma-4-e2b-it__pizza_search__r1.png","5d25654abc7ae924d51455b67b88e14893923620e5c07baa20a2b89cc69a919f","","research/evaluation/results/141608__gemma-4-e2b-it__pizza_search__r1.json"
"self-hosted","gemma-4-e2b-it","timer_set_5min","0","141423","available","research/evaluation/model-trial-screenshots/self-hosted/141423__gemma-4-e2b-it__timer_set_5min__r0.png","186789a74329379b297a7fa4145466c4c94614e448139b7ced7b40f5b1ae188c","","research/evaluation/results/141423__gemma-4-e2b-it__timer_set_5min__r0.json"
"self-hosted","gemma-4-e2b-it","timer_set_5min","1","141458","available","research/evaluation/model-trial-screenshots/self-hosted/141458__gemma-4-e2b-it__timer_set_5min__r1.png","330f58c5206475ef7eda0acb95172bce02a0dfe24f48f5551d3696d4c6cebcd9","","research/evaluation/results/141458__gemma-4-e2b-it__timer_set_5min__r1.json"
"self-hosted","google/gemma-4-e4b","bluetooth_toggle_on","0","140424","available","research/evaluation/model-trial-screenshots/self-hosted/140424__google_gemma-4-e4b__bluetooth_toggle_on__r0.png","a2eb3190989406a638856fa8f1cc07dac521df84a3989f176e58327de24c929e","","research/evaluation/results/140424__google_gemma-4-e4b__bluetooth_toggle_on__r0.json"
"self-hosted","google/gemma-4-e4b","bluetooth_toggle_on","1","140516","available","research/evaluation/model-trial-screenshots/self-hosted/140516__google_gemma-4-e4b__bluetooth_toggle_on__r1.png","b1c0af438db3d8f01238ddfb80f5fe8c33172f5e7ee740433c1a667f6675ad3c","","research/evaluation/results/140516__google_gemma-4-e4b__bluetooth_toggle_on__r1.json"
"self-hosted","google/gemma-4-e4b","brightness_set_50","0","140620","available","research/evaluation/model-trial-screenshots/self-hosted/140620__google_gemma-4-e4b__brightness_set_50__r0.png","5207cb8efa65d66da63e9176a510bf313ffaec4dd86a1106210fc4a848fe7f35","","research/evaluation/results/140620__google_gemma-4-e4b__brightness_set_50__r0.json"
"self-hosted","google/gemma-4-e4b","brightness_set_50","1","140705","available","research/evaluation/model-trial-screenshots/self-hosted/140705__google_gemma-4-e4b__brightness_set_50__r1.png","aba8e979e4a71af488ba1777dcd05ddd232f67c1ea595ddb961b5feba5a6d838","","research/evaluation/results/140705__google_gemma-4-e4b__brightness_set_50__r1.json"
"self-hosted","google/gemma-4-e4b","dark_mode_off","0","140017","available","research/evaluation/model-trial-screenshots/self-hosted/140017__google_gemma-4-e4b__dark_mode_off__r0.png","eda2fddaeb3bbabd1b4dfc42885c8f67846eb7b5f87a111396d087fd48ff54ad","","research/evaluation/results/140017__google_gemma-4-e4b__dark_mode_off__r0.json"
"self-hosted","google/gemma-4-e4b","dark_mode_off","1","140128","available","research/evaluation/model-trial-screenshots/self-hosted/140128__google_gemma-4-e4b__dark_mode_off__r1.png","2f352576fc13855729d825fd35327244e8b2c7b9ac8ad0c156986ffd16a70388","","research/evaluation/results/140128__google_gemma-4-e4b__dark_mode_off__r1.json"
"self-hosted","google/gemma-4-e4b","dark_mode_on","0","135743","available","research/evaluation/model-trial-screenshots/self-hosted/135743__google_gemma-4-e4b__dark_mode_on__r0.png","a51ff0e8ff9ed41675a5eda665ab951416386e3a619611e4f1fca543744de5c5","","research/evaluation/results/135743__google_gemma-4-e4b__dark_mode_on__r0.json"
"self-hosted","google/gemma-4-e4b","dark_mode_on","1","135859","available","research/evaluation/model-trial-screenshots/self-hosted/135859__google_gemma-4-e4b__dark_mode_on__r1.png","0491e9a36b3ae50522a7b00e2218a82c9ab8c47cca76909dc3d60ad434652da9","","research/evaluation/results/135859__google_gemma-4-e4b__dark_mode_on__r1.json"
"self-hosted","google/gemma-4-e4b","pizza_search","0","140943","available","research/evaluation/model-trial-screenshots/self-hosted/140943__google_gemma-4-e4b__pizza_search__r0.png","5f5e8628f1ab103a8cea599b0447677d5acd743a1746017cfdf8facdfdb1ca14","","research/evaluation/results/140943__google_gemma-4-e4b__pizza_search__r0.json"
